location_id,Reported WHPT Class Year,Typical ASPT Class,Typical NTAXA Class,NGR,SX,SY,EX,EY,Altitude,d_f_source,logaltbar,log_area,disch_cat,slope,chalk,clay,hardrock,limestone,peat,shape_Length
122748,2017,High,High,NS 36306 21529,236350,621500,236300,621550,5,68592.27344,2.34101701,2.76261473,7,0.84288883,0,0,0.2542083,0,0.24038503,70.71067812
122714,2017,Good,High,NS 39427 44124,239450,644150,239400,644100,60,15867.08984,2.25535798,1.65884578,4,11.59797955,0,0,0.72020841,0,0.17565122,70.71067812
207255,2017,Good,High,NJ 90438 06014,390400,806050,390450,806000,81,4556.674805,2.12358332,0.87419176,1,7.58599949,0,0,1,0,0,70.71067812
207195,2017,High,High,NJ 85606 00455,385600,800450,385650,800400,12,135784.7969,2.6210885,3.30255866,9,1.81232738,0,0,0.99101043,0.00898955,0.10802906,70.71067812
207432,2017,High,High,NO 69630 95265,369600,795250,369650,795250,48,114739.0156,2.69190931,3.16708899,8,3.69398069,0,0,0.98771971,0.01228026,0.09410898,50
207076,2017,High,High,NO 26224 94920,326200,794950,326250,794900,258,51548.38281,2.80872393,2.80208063,7,10.24235916,0,0,0.97729844,0.02270155,0.12242355,70.71067812
666,2017,High,High,NT 53093 68784,353100,668750,353100,668800,96,13512.92383,2.41639924,1.63334215,2,5.14718628,0,0,0.60180283,0,0.00034894,50
4429,2017,Good,High,NT 60749 77978,360750,677950,360750,678000,3,44928.51953,2.23416138,2.49453712,5,3.37155533,0,0,0.26973021,0,0.00473941,50
4148,2017,Moderate,Moderate,NT 32615 73047,332600,673050,332650,673050,7,15758.51465,2.14303327,1.35950351,1,11.0819416,0,0,0.30875123,0,0,50
4257,2017,High,High,NT 30370 66236,330400,666200,330350,666250,57,31303.87305,2.4452467,2.10956168,4,5.60660172,0,0,0.26970744,0,0.07175881,70.71067812
11113,2017,Good,Good,NO 48644 03684,348600,703700,348650,703650,30,8945.148438,2.17562985,1.10380375,1,20.36133194,0,0,0.37874016,0,0,70.71067812
3570,2017,Moderate,Moderate,NT 17905 91773,317850,691800,317900,691750,115,4735.964355,2.15325093,0.98654783,1,5.90022182,0,0,0.20706549,0,0.27694687,70.71067812
8243,2017,Moderate,High,NO 31410 08458,331450,708450,331400,708500,36,5446.62207,2.08174825,1.01609278,1,3.93936896,0,0,0.31221393,0,0,70.71067812
3250,2017,Good,High,NT 10988 91044,310950,691000,311000,691050,129,8995.150391,2.30417824,1.1352917,1,2.44335985,0,0,0.17173196,0,0.13438301,70.71067812
3402,2017,Moderate,Good,NO 51915 01707,351850,701750,351900,701700,11,3308.147949,1.474172,1.015674,1,4.51627636,0,0,0.0081987,0,0,70.71067812
1426,2017,Moderate,High,NT 21947 95301,321950,695250,322000,695300,69,13487.18945,2.11412621,1.31638968,1,10.11466599,0,0,0.15781853,0,0.15661196,70.71067812
335,2017,High,High,NS 92793 72719,292750,672700,292800,672700,115,22486.33789,2.25976062,1.8743223,4,7.24930954,0,0,0.05806538,0,0.22795419,50
1412,2017,Good,High,NO 35018 00493,335000,700500,335050,700450,19,16289.26953,2.09385324,1.51689875,2,12.45258999,0,0,0.23777659,0,0,70.71067812
8211,2017,Moderate,Poor,NO 41477 15478,341500,715450,341450,715500,9,16669.60352,2.14133191,1.78644967,3,9.78417778,0,0,0.3694559,0,0,70.71067812
2239,2017,High,High,NS 83146 82024,283100,682050,283150,682000,19,27142.59375,2.39685369,2.06778669,5,8.28427124,0,0,0.80961138,0,0.11119191,70.71067812
1615,2017,Good,High,NS 88206 82375,288000,682350,288050,682350,1,35714.53906,2.27472496,2.28242946,6,-9,0,0,0.50069147,0,0.09635206,50
1604,2017,Good,High,NS 90338 86751,290300,686750,290350,686750,2,13216.47363,1.59469676,1.60208714,3,0.87338173,0,0,0,0,0.05218424,50
338805,2017,Good,High,NK 03973 47735,403950,847750,404000,847750,22,27894.67578,1.97619128,2.13515639,4,0.94150251,0,0,1,0,0.01789279,50
204343,2017,Good,High,NO 82625 73389,382600,773400,382650,773350,6,32316.00586,2.17324924,2.09501243,4,6.9770174,0,0,0.37143949,0,0.04808967,70.71067812
5565,2017,Moderate,High,NT 15297 73200,315300,673150,315300,673200,30,21226.29102,2.0316031,1.65492213,2,4.21444416,0,0,0.09412871,0,0,50
474,2017,Good,High,NT 00431 65075,300400,665050,300400,665100,131,9427.992188,2.2871995,1.04178739,1,8.15547276,0,0,0.0006812,0,0.08514986,50
207374,2017,Moderate,High,NJ 90148 09753,390100,809700,390150,809750,28,5643.069336,2.09359622,1.0059309,1,24.82923698,0,0,1,0,0,70.71067812
207241,2017,Moderate,High,NJ 88554 14600,388550,814600,388550,814550,35,14063.53418,2.02477312,1.60080957,2,17.21710968,0,0,1,0,0.05139777,50
457,2017,Moderate,High,NT 00990 65767,301000,665750,301050,665800,123,20710.59766,2.29938078,1.7550168,3,6.98705387,0,0,0.02940013,0,0.19907713,70.71067812
207152,2016,Good,High,NJ 95321 54635,395300,854650,395300,854600,46,17265.62,2.074726,1.764587,3,1.778942,0,0,0.827014,0.003998,0.237469,50
122824,2018,Good,High,NN 03070 29940,203100,729850,203100,729900,18,62181.3,2.479658,2.91541,9,5.24029,0,0,0.987916,0.012084,0.0039,50
